bus_company,bus_star,bus_type,departure_time,pick_up_point,duration_h_m,arrival_time,drop_off_point,arrival_date,price_original,price_discount,discount_percent,notification,An toàn,Thông tin chính xác,Thông tin đầy đủ,Thái độ nhân viên,Tiện nghi & thoải mái,Chất lượng dịch vụ,Đúng giờ,star_rating,num_reviews,duration_minutes,discount_percent_numeric
Đà Lạt ơi,4.8 (3425),Limousine 24 Phòng ĐÔI,23:30,• Trạm Hàng Xanh,7h,06:30,• Trạm Nha Trang,(12/10),450000,320000,-29%,Lộ trình: N4 Thủ Đức - Quận 1 - Cao tốc,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3425.0,420,-29.0
Bình Minh Tải,4.7 (3650),Limousine 22 Phòng Đơn,22:30,• Văn Phòng Quận 1,7h5m,05:35,• Văn phòng Nha Trang,(12/10),350000,300000,-14%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.6,4.6,4.7,4.6,4.6,4.6,4.8,4.7,3650.0,425,-14.0
Huỳnh Gia,4.7 (8534),Giường nằm 38 chỗ (WC),22:30,• Văn Phòng Phạm Ngũ Lão,6h30m,05:00,• Văn Phòng Nha Trang,(12/10),280000,250000,-11%,Lộ trình: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534.0,390,-11.0
An Anh Limousine,4.8 (8322),Limousine 34 Phòng Đơn,23:30,• Văn Phòng Quận 5,6h30m,06:00,• Văn phòng Nha Trang,(12/10),299000,199000,-33%,Tiện ích miễn phí,4.8,4.7,4.7,4.7,4.7,4.7,4.6,4.8,8322.0,390,-33.0
Khanh Phong,4.7 (16845),Limousine 20 giường phòng (WC),05:15,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,11:25,• Văn Phòng Nha Trang (KS Mường Thanh), ,480000,400000,-17%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845.0,370,-17.0
Nhật Dương - Bình Minh Bus,4.9 (5826),Limousine 22 Phòng Đôi Luxury (WC),23:30,• Văn phòng Nguyễn Cư Trinh Quận 1,6h36m,06:06,• Vp Thích Quảng Đức Nha Trang,(12/10),349000,304000,-13%,NX xuất HĐ VAT - Hướng đi: Cao tốc,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826.0,396,-13.0
Bus365,4.7 (165),Limousine 24 phòng đôi,22:00,• Bến Xe Miền Đông Mới,6h,04:00,• Văn Phòng Nha Trang,(12/10),400000,289000,-28%,Vé Metro miễn phí,4.8,4.6,4.7,4.8,4.7,4.7,4.4,4.7,165.0,360,-28.0
Nam Hải Limousine,4.7 (3463),Limousine 34 giường,22:20,• Văn Phòng Phạm Ngũ Lão,8h,06:20,• Văn Phòng Nha Trang,(12/10),300000,270000,-10%,Lưu ý Đón/Trả tại TP.HCM,4.8,4.7,4.7,4.7,4.7,4.7,4.8,4.7,3463.0,480,-10.0
Trọng Thủy Limousine,4.7 (1344),Limousine 24 phòng Đôi,21:00,• Ngã 4 An Sương,7h,04:00,• Văn phòng Nha Trang,(12/10),470000,420000,-11%,Kích thước giường cuối,4.7,4.6,4.7,4.7,4.7,4.6,4.4,4.7,1344.0,420,-11.0
Trà Lan Viên,4.4 (4199),Limousine 30 Phòng Đơn (WC),22:15,• Vp. Quận 1,7h20m,05:35,• VP Hà Quang 2,(12/10),280000,260000,-7%,Quý khách lưu ý giường cuối,4.6,4.5,4.5,4.4,4.3,4.3,4.7,4.4,4199.0,440,-7.0
Đà Lạt ơi,4.8 (3425),Limousine 24 Phòng ĐÔI,23:45,• Trạm Quận 1,5h45m,05:30,• Trạm Nha Trang,(12/10),450000,320000,-29%,Lộ trình: Hàng Xanh - Quận 1 - Cao tốc đến Cam Ranh,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3425.0,345,-29.0
Huỳnh Gia,4.7 (8534),Giường nằm 34 chỗ (WC),11:00,• Văn Phòng Phạm Ngũ Lão,6h30m,17:30,• Văn Phòng Nha Trang, ,280000,238000,-15%, ,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,8534.0,390,-15.0
Bình Minh Tải,4.7 (3650),Limousine 22 Phòng Đôi VIP (WC),23:15,• Văn Phòng Quận 1,7h5m,06:20,• Văn phòng Nha Trang,(12/10),395000,289000,-27%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.6,4.6,4.7,4.6,4.6,4.6,4.8,4.7,3650.0,425,-27.0
An Anh Limousine,4.8 (8322),Limousine 24 Phòng Đôi,05:00,• Văn Phòng Quận 5,6h30m,11:30,• Văn phòng Nha Trang, ,449000,299000,-33%,Tiện ích miễn phí,4.8,4.7,4.7,4.7,4.7,4.7,4.6,4.8,8322.0,390,-33.0
Nhật Dương - Bình Minh Bus,4.9 (5826),Limousine phòng 22 đôi (WC),22:35,• Văn phòng Nguyễn Cư Trinh Quận 1,7h50m,06:25,• Vp Thích Quảng Đức Nha Trang,(12/10),349000,304000,-13%,NX xuất HĐ VAT - Hướng đi: Cao tốc,4.9,4.9,4.9,4.9,4.9,4.8,4.8,4.9,5826.0,470,-13.0
Khanh Phong,4.7 (16845),Limousine 32 giường nằm (WC),23:20,• Văn Phòng Phạm Ngũ Lão - Quận 1.,6h10m,05:30,• Văn Phòng Nha Trang (KS Mường Thanh),(12/10),320000,300000,-6%,Quý khách lưu ý,4.8,4.7,4.7,4.7,4.6,4.6,4.8,4.7,16845.0,370,-6.0
Nam Hải Limousine,4.7 (3463),Limousine 22 giường,10:15,• Văn Phòng Phạm Ngũ Lão,8h,18:15,• Văn Phòng Nha Trang, ,420000,370000,-12%,Lưu ý Đón/Trả tại TP.HCM,4.8,4.7,4.7,4.7,4.7,4.7,4.8,4.7,3463.0,480,-12.0
Bus365,4.7 (165),Limousine 24 phòng đôi,13:00,• Bến Xe Miền Đông Mới,6h,19:00,• Văn Phòng Nha Trang, ,400000,289000,-28%,Vé Metro miễn phí,4.8,4.6,4.7,4.8,4.7,4.7,4.4,4.7,165.0,360,-28.0
Trà Lan Viên,4.4 (4199),Limousine 21 Phòng Đơn (WC),23:00,• Vp. Quận 1,7h20m,06:20,• VP Hà Quang 2,(12/10),450000,400000,-11%,Quý khách lưu ý giường cuối,4.6,4.5,4.5,4.4,4.3,4.3,4.7,4.4,4199.0,440,-11.0
Phương Nam,4.7 (2431),Giường nằm 40 chỗ có toilet,22:00,• Văn phòng Quận 1,8h52m,06:52,• Văn Phòng Chung cư CT2,(12/10),240000,240000, , ,4.8,4.7,4.8,4.7,4.6,4.6,4.8,4.7,2431.0,532,
Hạnh Cafe - Hà Phương Limousine,4.4 (7326),Limousine 34 Giường,22:15,• Văn phòng Quận 1,8h30m,06:45,• Văn phòng 106 Phong Châu,(12/10),300000,280000,-7%,Thông báo,4.6,4.4,4.5,4.4,4.3,4.3,4.7,4.4,7326.0,510,-7.0
Xe Nhà,4.3 (3213),Giường nằm 40 chỗ (WC),22:15,• Văn phòng Quận 1,7h15m,05:30,• VP Nha Trang - Xe Nhà,(12/10),280000,240000,-14%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.3,4.2,4.4,4.2,4.0,4.0,4.5,4.3,3213.0,435,-14.0
Liên Hưng,4 (12922),Limousine 21 phòng đơn (WC),22:15,• Bến xe Miền Tây (Quầy 24),8h45m,07:00,• Văn phòng Nha Trang,(12/10),500000,300000,-40%, ,4.3,4.2,4.3,4.1,4.0,3.9,4.2,,,525,-40.0
Cúc Tùng,3.8 (2763),Giường nằm 32 chỗ,05:30,• Văn Phòng Bình Thạnh,9h50m,15:20,• Văn Phòng Nha Trang, ,362000,300000,-17%,Kích cỡ giường cuối,4.1,3.9,4.0,3.9,3.9,3.7,4.2,3.8,2763.0,590,-17.0
Quang Hạnh (NT),3.6 (362),Limousine 22 phòng đơn (WC),19:30,• Bến xe Miền Tây (Quầy 25),9h25m,04:55,• Bến Xe Phía Nam Nha Trang Mới,(12/10),480000,350000,-27%,Lưu ý kích cỡ giường,4.1,3.7,3.9,3.9,3.8,3.6,3.6,3.6,362.0,565,-27.0
Phúc An Express,4.7 (3425),Limousine 22 giường phòng (WC),22:15,• Văn Phòng Sài Gòn,7h30m,05:45,• Văn Phòng Nha Trang,(12/10),470000,470000, ,Lộ trình xe chạy,4.8,4.7,4.7,4.7,4.6,4.6,4.7,4.7,3425.0,450,
Hà Linh,4.1 (1329),Limousine 22 Phòng,18:00,• Bến xe An Sương,9h30m,03:30,• Văn Phòng Nha Trang,(12/10),300000,290000,-3%,Trung chuyển Hồ Chí Minh,4.4,4.3,4.3,4.2,4.0,4.0,4.8,4.1,1329.0,570,-3.0
Việt Nhật,4.7 (816),Limousine 34 Giường,22:30,• Văn phòng Quận 1,8h20m,06:50,• Vp. Nha Trang,(12/10),280000,280000, ,Lưu ý,4.8,4.7,4.8,4.8,4.6,4.7,4.8,4.7,816.0,500,
Quang Dũng VIP Limousine,3.7 (887),Giường phòng 32 chỗ (Có WC),05:30,• Bến Xe An Sương,9h5m,14:35,• Văn phòng Nha Trang, ,550000,550000, ,"Lưu ý chính sách bao cơm, kích thước giường cuối và thời gian",4.0,3.8,3.8,3.9,3.8,3.7,4.3,3.7,887.0,545,
Long Vân Limousine,4.5 (6899),Limousine phòng đôi 22 chỗ (WC),13:00,• Văn phòng Bình Thạnh,7h,20:00,• Văn Phòng Nha Trang, ,350000,315000,-10%,Hướng đi: Cao tốc (Long Thành - Dầu Giây - Phan Thiết),4.5,4.4,4.5,4.5,4.4,4.4,4.7,4.5,6899.0,420,-10.0
Tài Phát Limousine,5 (1170),Limousine 24 Phòng Đôi,20:00,• Bến xe Miền Tây,7h25m,03:25,• Ngã 3 Thành,(12/10),520000,450000,-13%,Lưu ý hướng đi cao tốc >>>,4.9,4.9,4.9,4.9,4.9,4.9,5.0,,,445,-13.0
Như Ý 78 (Phú Yên),4.6 (135),Limousine 24 phòng,18:00,• Bến xe An Sương (Tp HCM).,8h45m,02:45,• Ninh Hòa (Dọc Quốc Lộ 1A),(12/10),290000,290000, ,Trung chuyển TP.Tuy Hòa,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.6,135.0,525,
Rạng Đông Buslines,4.2 (1481),Limousine 34 phòng,15:01,• Bến xe An Sương (Phòng vé số 3),7h45m,22:46,• Ngã 3 nhà máy sợi Nha Trang, ,500000,400000,-20%,Giá vé bao gồm phần ăn,4.5,4.2,4.3,4.3,4.2,4.2,4.6,4.2,1481.0,465,-20.0
Tuấn Tú Express,4.5 (1392),Giường nằm 46 chỗ,14:30,• Trạm Bà Điểm,7h,21:30,• Khánh Hòa, ,450000,290000,-36%,Chính sách bao ăn,4.7,4.6,4.6,4.6,4.5,4.5,4.6,4.5,1392.0,420,-36.0
